Agency,Account,State,Recipent,Project,Amount,Requested by,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Charter Township of Grayling ,Municipal Water Service Project,"$1,750,000.00 ",Bergman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Escanaba ,Water Infrastructure Improvement Project,"$750,000.00 ",Bergman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Escanaba ,Water Main and Service Line Upgrade Project,"$750,000.00 ",Bergman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Village of Beulah ,Wastewater Treatment Improvements,"$1,000,000.00 ",Bergman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Tawas City ,Primary Transmission Main Project,"$1,000,000.00 ",Bergman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Alexandria ,Bellefonte Ave. Storm Drain Improvements,"$1,092,000.00 ",Beyer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Falls Church ,Cavalier Trail Park Sewage Flow Equalization Basin,"$1,092,000.00 ",Beyer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OK,City of Wewoka ,Wastewater Treatment Facility Upgrade,"$2,250,000.00 ",Bice,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OK,City of Bethany ,Wastewater System Repair Project,"$1,280,000.00 ",Bice,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OK,City of Konawa ,Water Distribution Line Replacement Project,"$1,500,000.00 ",Bice,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OK,City of Yukon ,Wastewater Facility Repairs and Upgrades,"$1,640,000.00 ",Bice,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OK,City of Seminole ,Wastewater Lift Station Upgrade,"$1,250,000.00 ",Bice,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OK,City of Piedmont ,Water Distribution Line Replacement Project,"$1,250,000.00 ",Bice,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OK,City of Spencer ,Water Distribution Line Replacement Project,"$500,000.00 ",Bice,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Brooksville ,Wastewater Treatment Improvement Project,"$1,000,000.00 ",Bilirakis,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,Pasco County ,Chlorine Booster Station Construction Project,"$750,000.00 ",Bilirakis,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Citrus County ,Lift Station Improvements,"$750,000.00 ",Bilirakis,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Crystal River ,Wastewater Treatment Plant Rehabilitation,"$750,000.00 ",Bilirakis,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Hernando County ,Centralized Sewer Transition Project,"$750,000.00 ",Bilirakis,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of Attapulgus ,Water Main Replacement,"$478,420.00 ",Bishop (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of Blakely ,Water System Improvements,"$960,000.00 ",Bishop (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,Lee County Board of Commissioners ,Water Supply and Treatment Improvements,"$1,092,000.00 ",Bishop (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Castle Rock Water ,Water Supply Project,"$1,750,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Prairie View Ranch Water District ,Water Infrastructure Consolidation Project,"$1,750,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Town of Severance ,Regional Water Treatment Plant and Transmission Line Project,"$1,750,000.00 ",Boebert,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CO,City of Lamar ,Wastewater Treatment Plant Improvements Project,"$1,000,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Louviers Water and Sanitation District ,Drinking Water Distribution Project,"$1,000,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Town of Ovid ,Water Treatment Plant Improvement Project,"$1,000,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Town of Kiowa ,Well Redundancy Project,"$1,000,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,City of Brush ,Water Treatment Facility,"$1,000,000.00 ",Boebert,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CO,City of Yuma ,Water Infrastructure Improvements,"$750,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Town of Walsh ,Water System Improvement Project,"$750,000.00 ",Boebert,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OR,City of Hillsboro ,Seismically Resilient Water Treatment Plant Project,"$1,092,000.00 ",Bonamici,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of West Salem ,Watermain Replacement Project,"$1,200,000.00 ",Bost,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Maeystown ,Wastewater Treatment Facility Improvements,"$1,636,000.00 ",Bost,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Anna ,Sewer Improvement Project,"$1,000,000.00 ",Bost,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Robinson Palestine Water Commission ,New Water Treatment Plant,"$1,000,000.00 ",Bost,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Casey ,Sanitary Sewer Relining,"$1,000,000.00 ",Bost,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Sparta ,Raw Water Transmission Line Project,"$750,000.00 ",Bost,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Milford Borough,Sewer Extension Project,"$1,250,000.00 ",Bresnahan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Monroe County ,Wastewater Treatment Project,"$1,250,000.00 ",Bresnahan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Dallas Area Municipal Authority ,Wastewater Infrastructure Expansion Project,"$1,000,000.00 ",Bresnahan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of University Heights ,Manhole Separation Project,"$1,092,000.00 ",Brown,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Cleveland Metroparks ,Stormwater Project,"$1,092,000.00 ",Brown,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Northeast Ohio Regional Sewer District ,Big Creek West Branch Culvert Repair Project,"$1,092,000.00 ",Brown,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Calleguas Municipal Water District ,Lake Bard Pump Station Project,"$1,092,000.00 ",Brownley,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Oxnard ,Cast Iron Pipe Replacement Project,"$1,092,000.00 ",Brownley,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Santa Paula ,Cross-Town Pipeline Project,"$1,092,000.00 ",Brownley,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Hillsborough County ,Sewer Expansion,"$2,000,000.00 ",Buchanan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Hillsborough County ,Aquifer Recharge Project,"$750,000.00 ",Buchanan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Glen Carbon ,Drinking Water Treatment Plant Installation,"$1,092,000.00 ",Budzinski,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TN,Knoxville Utilities Board ,Wastewater Treatment Plant,"$750,000.00 ",Burchett,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OR,Marion County ,North Santiam Sewer Project,"$1,092,000.00 ",Bynum,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OR,Oak Lodge Water Services Authority ,Clarifier Replacement Project,"$1,092,000.00 ",Bynum,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OR,City of Bend ,Drinking Water Protection Project,"$992,250.00 ",Bynum,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OR,City of Halsey ,Municipal Water Well and Water Treatment Project,"$700,000.00 ",Bynum,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OR,City of Molalla ,Water Intake Project,"$1,092,000.00 ",Bynum,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OR,City of Oregon City ,Water Transmission Main Project Phase 3,"$1,092,000.00 ",Bynum,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of Jeffersonville ,Wastewater Infrastructure Improvements,"$1,936,000.00 ",Carey,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of Columbus ,Wastewater Treatment Improvement Project,"$750,000.00 ",Carey,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IN,City of Indianapolis ,Lead Service Line Replacement Program,"$1,092,000.00 ",Carson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,GA,City of Port Wentworth ,Water Infrastructure Improvements,"$1,750,000.00 ",Carter (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of Rincon ,Waterline Extension Project,"$1,000,000.00 ",Carter (GA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,City of Kenner ,Wastewater Treatment Plant Stabilization and Improvement Project,"$1,092,000.00 ",Carter (LA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,City of Westwego ,Wastewater Treatment Plant Modernization Project,"$1,092,000.00 ",Carter (LA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,St. Bernard Parish ,Culvert Drainage Improvements Project,"$1,092,000.00 ",Carter (LA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Georgetown ,Waterline Upgrade Project,"$3,500,000.00 ",Carter (TX),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Marble Falls ,Wastewater Line Replacement Project,"$2,000,000.00 ",Carter (TX),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Gatesville ,Storage Tank Replacement Project,"$775,840.00 ",Carter (TX),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Hamilton ,Service Line Replacement Project,"$2,000,000.00 ",Carter (TX),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of San Marcos ,Main Replacement Project,"$1,092,000.00 ",Casar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,HI,Department of Hawaiian Home Lands ,Papakolea Sewer Improvement Project,"$1,092,000.00 ",Case,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,City of Palos Heights ,80th Ave Pump Station Upgrades,"$1,092,000.00 ",Casten,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Hillsborough County ,Ruskin Septic-to-Sewer Project Phase 1,"$1,092,000.00 ",Castor,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,San Antonio River Authority ,Woodlawn Lake Storm Quality Improvements,"$80,000.00 ",Castro,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of North Lauderdale ,Storm Water Culvert Replacements,"$750,000.00 ",Cherfilus-McCormick,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Town of Lake Park ,Final Septic To Sewer Conversion Project,"$1,092,000.00 ",Cherfilus-McCormick,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of Riviera Beach ,Construction of Water Treatment Facilities,"$1,092,000.00 ",Cherfilus-McCormick,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of Tamarac ,Water Treatment Plant Project,"$1,092,000.00 ",Cherfilus-McCormick,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Los Angeles County Department of Public Works ,Public Sewer Enhancement Project,"$1,092,000.00 ",Chu,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AZ,City of Tombstone ,Water Reclamation Facility Upgrades,"$989,786.00 ",Ciscomani,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AZ,Town of Marana ,Source Water System Improvements,"$2,250,000.00 ",Ciscomani,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AZ,Town of Marana ,PFAS Treatment Project,"$1,750,000.00 ",Ciscomani,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AZ,Graham County ,Water Line Project,"$1,200,000.00 ",Ciscomani,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,San Gabriel River Watershed Management Authority ,Stormwater Capture Project,"$1,092,000.00 ",Cisneros,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,City of Melrose ,Stormwater Improvement Project,"$852,500.00 ",Clark,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Arlington ,Mystic River Watershed Infrastructure Project,"$1,092,000.00 ",Clark,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,City of Woburn ,Horn Pond Plant PFAS Removal Project,"$1,092,000.00 ",Clark,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Natick ,PFAS Removal Project,"$1,036,000.00 ",Clark,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,SC,County of Orangeburg ,Wastewater Treatment Plant Expansion,"$1,092,000.00 ",Clyburn,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OK,Moore Public Works Authority ,Water Transmission Line Construction,"$5,000,000.00 ",Cole,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Paducah  McCracken  County  Joint  Sewer  Agency  , Wastewater  Treatment  Plant  Up- grades,"$1,750,000.00 ",Comer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,City of Madisonville ,Lift Station Improvement Project,"$1,000,000.00 ",Comer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,City of Eddyville ,Wastewater Treatment Plant Construction Project,"$1,000,000.00 ",Comer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,Henderson Water Utility ,Raw Water Intake and Pipeline Project,"$1,000,000.00 ",Comer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,City of Adairville ,Wastewater Treatment Plant Improvement,"$750,000.00 ",Comer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Franklin County Fiscal Court ,Wastewater Improvement Project,"$750,000.00 ",Comer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,South Hopkins Water District ,Waterline and Building Project,"$750,000.00 ",Comer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of Burlington ,Sludge Dewatering Project Phase 2,"$1,092,000.00 ",Conaway,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Borough of Freehold ,Water Tower Tanks Refurbishment Project,"$1,092,000.00 ",Conaway,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Township of Freehold ,Water Main Replacements,"$1,092,000.00 ",Conaway,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Willingboro  Municipal  Utilities  Authority  , PFOS/PFOA  Water  Treatment  Plant  Upgrade Project,"$1,092,000.00 ",Conaway,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Santa Ana ,PFAS Treatment,"$1,092,000.00 ",Correa,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Woodlake ,Storm Drain Enhancement Project,"$1,092,000.00 ",Costa,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Dinuba ,Water Tower Replacement,"$1,092,000.00 ",Costa,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,Town of Killingly ,Water Pollution Control Facility Upgrades,"$1,000,000.00 ",Courtney,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Newport ,Inflow and Infiltration Mitigation Project,"$1,092,000.00 ",Craig,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Hastings ,PFAS and Nitrates Treatment Project,"$1,092,000.00 ",Craig,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Newport Municipal Utility District ,Sewer System Rehabilitation,"$750,000.00 ",Crenshaw,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris County Flood Control District ,Woodridge Stormwater Detention Basin Construc- tion Project,"$1,000,000.00 ",Crenshaw,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,The City of Woodbranch Village ,Water and Wastewater Project,"$1,000,000.00 ",Crenshaw,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Montgomery  County  Municipal  Utility  District  84  , Bentwood  Drainage  Channel  Im- provement Project Phase II,"$1,000,000.00 ",Crenshaw,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris County Flood Control District ,Kuykendahl Stormwater Detention Basin Project,"$750,000.00 ",Crenshaw,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Montgomery County Precinct 4 ,Drainage Improvements,"$750,000.00 ",Crenshaw,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Glenn Height ,Wastewater Treatment Project,"$1,092,000.00 ",Crockett,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Grand Prairie ,Waterford Lift Station Project,"$1,092,000.00 ",Crockett,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Glenn Heights ,Citywide Infiltration and Inflow Study Project,"$325,000.00 ",Crockett,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KS,City of Bonner Springs ,Lonestar Interceptor Sanitary Sewer Project,"$1,092,000.00 ",Davids,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KS,City of Olathe ,Olathe Basin C16 Sanitary Sewer Rehabilitation Improvement,"$884,466.00 ",Davids,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KS,City of Princeton ,Stormwater Improvements,"$610,680.00 ",Davids,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Oak Park ,Relief Sewer Project,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Bellwood ,Water Infrastructure Improvement Project,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Forest park,Water System Improvements,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Hillside ,Drinking Water Improvement Project,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Maywood ,Water Main Improvements,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of North Riverside ,Water Main Improvement Project,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Riverforest,Drinking Water Improvement Project,"$1,092,000.00 ",Davis (IL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Northampton  County  Government  , the  Town  of  Garysburg  Wastewater  Infrastructure Rehabilitation,"$1,092,000.00 ",Davis (NC),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Town of Sharpsburg ,Sewer Infrastructure Rehabilitation,"$1,092,000.00 ",Davis (NC),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Town of Tarboro ,Wastewater Treatment Plant Denitrification Upgrade,"$1,092,000.00 ",Davis (NC),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Hertford County,Water System Improvements,"$1,092,000.00 ",Davis (NC),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of McAllen ,Remote Groundwater Well,"$1,000,000.00 ",De La Cruz,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Edinburg ,Water Treatment Plant Project,"$750,000.00 ",De La Cruz,
