Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Education,Innovation and Improvement, MD,Joe’s Movement Emporium, after-school and in-school programs to enhance academic success through arts-based learning at William Beanes Elementary School,"$610,000 ",Alsobrooks,
Department of Education,Innovation and Improvement, MA,Jumpstart for Young Children Inc, the Accelerated Workforce program for early childhood education,"$250,000 ",Markey, Warren
Department of Education,Innovation and Improvement, GA,Junior Achievement of Georgia Inc, workforce development and financial literacy education programs for middle school students,"$859,000 ",Ossoff,
Department of Education,Innovation and Improvement, HI,KAMP Hawaii," education and mentoring programs, including the purchase of a vehicle","$350,000 ",Schatz,
Department of Education,Innovation and Improvement, MI,Kent Intermediate School District, career and technical education,"$750,000 ",Peters,
Department of Education,Innovation and Improvement, HI,Lanai High and Elementary School Foundation, develop the community school model at Lanai High and Elementary School,"$120,000 ",Hirono,
Department of Education,Innovation and Improvement, MD,Launching Educational Assistance Program Forward Inc. LEAP Forward Inc., STEM education,"$241,000 ",Alsobrooks, Van Hollen
Department of Education,Innovation and Improvement, AK,Learning Point Alaska, a tutoring program,"$339,000 ",Murkowski,
Department of Education,Innovation and Improvement, MD,Learning Undefeated Inc, a mobile STEM workforce development program for secondary and postsecondary students,"$675,000 ",Van Hollen,
Department of Education,Innovation and Improvement, NJ,Liberty Science Center," environmental education programming, which may include the acquisition of a vehicle and up to two portable planetariums","$559,000 ",Booker,
Department of Education,Innovation and Improvement, NY,Lincoln Center for the Performing Arts Inc, arts education programming,"$750,000 ",Schumer,
Department of Education,Innovation and Improvement, MD,Living Classrooms Foundation," music education, including by acquiring and equipping a mobile music lab bus","$810,000 ",Alsobrooks, Van Hollen
Department of Education,Innovation and Improvement, MD,Maryland State Department of Education (MSDE)," improve early childhood education programs, including through a new statewide enrollment system","$500,000 ",Alsobrooks,
Department of Education,Innovation and Improvement, MD,Melwood Community Services Inc, an afterschool program,"$235,000 ",Alsobrooks, Van Hollen
Department of Education,Innovation and Improvement, MD,Mid -Shore Community Foundation—Bellevue Passage Museum, STEAM education,"$129,000 ",Alsobrooks,
Department of Education,Innovation and Improvement,  ME,Millinocket  School  Department,"  equipment,  textbooks  and  educational materialsfor education programs","$1,448,000 ",King,
Department of Education,Innovation and Improvement, WI,Milwaukee Jewish Federation, education on and prevention of antisemitism,"$312,000 ",Baldwin,
Department of Education,Innovation and Improvement, MS,Mississippi School of the Arts," a college and career readiness program, including tuition assistance, and the purchase of equipment and supplies","$500,000 ",Hyde-Smith,
Department of Education,Innovation and Improvement, NJ,Montclair Film Festival Inc., film education programs,"$80,000 ",Booker,
Department of Education,Innovation and Improvement, WV,National Youth Science Academy, the purchase of equipment and technology,"$500,000 ",Capito, Justice
Department of Education,Innovation and Improvement, NH,New Hampshire School Principals Foundation, a workforce development school leadership initiative,"$342,000 ",Shaheen,
Department of Education,Innovation and Improvement, NJ,New Jersey Performing Arts Center, equipment and technology for arts education,"$552,000 ",Booker,
Department of Education,Innovation and Improvement, NM,New Mexico State University, K–12 AI curriculum development and professional development programs,"$762,000 ",Heinrich, Lujan
Department of Education,Innovation and Improvement, NM,New Mexico State University, professional development,"$480,000 ",Heinrich,
Department of Education,Innovation and Improvement, NM,New Mexico State University, improve bilingual education,"$250,000 ",Heinrich,
Department of Education,Innovation and Improvement, RI,New Urban Arts," education and curriculum development, including student stipends","$150,000 ",Reed,
Department of Education,Innovation and Improvement, NJ,NJ Tech Council," workforce development, career readiness, and education and training in business development and entrepreneurship","$1,450,000 ",Booker, Kim
Department of Education,Innovation and Improvement, AK,North Slope Borough School District, Inupiaq curriculum and instruction,"$500,000 ",Murkowski,
Department of Education,Innovation and Improvement, WA,Northwest Maritime, a maritime workforce pilot program for high school students to develop workforce-ready skills and competencies,"$1,500,000 ",Cantwell,
Department of Education,Innovation and Improvement, CT,Ocean Exploration Trust Inc, educational exhibit on ocean exploration,"$407,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, MS,Operation Shoestring, an out of school time program,"$515,000 ",Hyde-Smith,
Department of Education,Innovation and Improvement, WI,Pablo Center at the Confluence, STEAM education and workforce readiness programs,"$900,000 ",Baldwin,
Department of Education,Innovation and Improvement, WA,Page Ahead Children’s Literacy Program, a summer reading program,"$300,000 ",Murray,
Department of Education,Innovation and Improvement, HI,PATCH—People Attentive to Children," improve school readiness through the expansion of a credentialing program for early childhood practitioners, including stipends","$250,000 ",Hirono,
Department of Education,Innovation and Improvement, NY,Philharmonic-Symphony Society of New York Inc, music education programs,"$2,000,000 ",Schumer,
Department of Education,Innovation and Improvement, WA,Pierce County, improve early childhood school readiness and education outcomes,"$525,000 ",Murray,
Department of Education,Innovation and Improvement, WI,Prevention and Response Columbia County, mental health and substance use prevention programs,"$97,000 ",Baldwin,
Department of Education,Innovation and Improvement, IL,Project SYNCERE, equipment for STEM education programs,"$200,000 ",Duckworth,
Department of Education,Innovation and Improvement, HI,Purple Maia Foundation, an early college program,"$360,000 ",Hirono,
Department of Education,Innovation and Improvement, NH,Reach for the Top Therapy Services, expand speech language and communication services,"$181,000 ",Shaheen,
Department of Education,Innovation and Improvement, DE,Reading Assist, expand a tutoring program,"$1,000,000 ",Coons,
Department of Education,Innovation and Improvement, NY,Research Foundation of the City University of New York—CUNY School of Labor and Urban Studies Foundation Inc," develop the Public ServiceTraining Corps, including scholarships and stipends","$600,000 ",Schumer,
Department of Education,Innovation and Improvement, RI,Rhode Island Marine Trade Association, workforce training for high school students,"$480,000 ",Whitehouse,
Department of Education,Innovation and Improvement, RI,Rhode Island Philharmonic Orchestra & Music School, music education,"$450,000 ",Reed,
Department of Education,Innovation and Improvement, RI,RI Department of State, civics education programming,"$130,000 ",Reed, Whitehouse
Department of Education,Innovation and Improvement, CO,Roaring Fork School District, expand school-based mental health programs,"$250,000 ",Bennet, Hickenlooper
Department of Education,Innovation and Improvement, AZ,Round Valley School District, a laptop computer replacement initiative,"$600,000 ",Gallego, Kelly
Department of Education,Innovation and Improvement, NH,SAU #2, expenses of an Executive Director to develop a proposal for the creation of a regional school in the Lakes Region for children with intensive learning needs from preschool through grade 8,"$225,000 ",Shaheen,
Department of Education,Innovation and Improvement, MN,Science Museum of Minnesota, establish regional STEM Educator Resource Centers,"$2,500,000 ",Klobuchar, Smith
Department of Education,Innovation and Improvement, MD,SciTech2U Inc, science education programs,"$214,000 ",Van Hollen,
Department of Education,Innovation and Improvement, MI,Shiawassee Regional Education Service District, equipment for career and technical education,"$267,000 ",Peters,
Department of Education,Innovation and Improvement, CA,Society of Hispanic Professional Engineers (SHPE), STEM education programming,"$236,000 ",Padilla,
Department of Education,Innovation and Improvement, SC,South Carolina Department of Education, Liberty STEAM Charter School to support the expansion of an additional grade,"$1,752,000 ",Graham,
Department of Education,Innovation and Improvement, NY,St. Ann’s Warehouse Inc, arts education programming,"$115,000 ",Schumer,
Department of Education,Innovation and Improvement, WA,Tacoma School District No 10 DBA Tacoma Public Schools, a maritime skills program for secondary students,"$500,000 ",Murray,
Department of Education,Innovation and Improvement, NJ,Teaching Matters Inc, professional development and support,"$500,000 ",Booker, Kim
Department of Education,Innovation and Improvement, ME,Team Long Run, a literacy program,"$250,000 ",Collins,
Department of Education,Innovation and Improvement, NY,The Brooklyn Academy of Music Inc, improve academic achievement through arts-based education programming,"$1,000,000 ",Schumer,
Department of Education,Innovation and Improvement, MD,The Coalition for African Americans in the Performing Arts, arts education,"$150,000 ",Alsobrooks,
Department of Education,Innovation and Improvement, PA,The Learning Lamp Inc, improve early childhood education programs,"$100,000 ",Fetterman,
Department of Education,Innovation and Improvement, RI,The Narragansett Indian Tribe, out-of-school-time programming,"$500,000 ",Reed, Whitehouse
Department of Education,Innovation and Improvement, MD,The National Aquarium," an environmental education program, including conservation themed youth programming and community service","$172,000 ",Alsobrooks,
Department of Education,Innovation and Improvement, MA,The Possible Zone," dual enrollment, career pathways, out-of-school time, and social emotional learning programs","$800,000 ",Markey, Warren
Department of Education,Innovation and Improvement, NM,Three Rivers Education Foundation, an early childhood literacy initiative,"$250,000 ",Heinrich,
Department of Education,Innovation and Improvement, PA,Tree of Life Inc, educational initiatives on antisemitism and identity-based hate for elementary and secondary education,"$1,200,000 ",Fetterman,
Department of Education,Innovation and Improvement, MI,Tri County Area Schools, acquire and install playground equipment for an early childhood education center,"$50,000 ",Peters,
Department of Education,Innovation and Improvement, DE,United Way of Delaware Inc., a literacy initiative,"$1,500,000 ",Blunt Rochester,
Department of Education,Innovation and Improvement, WI,United Way of Kenosha County, literacy programs,"$278,000 ",Baldwin,
Department of Education,Innovation and Improvement, PA,United Way of the Greater Lehigh Valley, develop data infrastructure among community schools in the Greater Lehigh Valley,"$190,000 ",Fetterman,
Department of Education,Innovation and Improvement, NV,University of Nevada—Las Vegas, Holocaust and Genocide studies education programs in Nevada,"$700,000 ",Cortez Masto, Rosen
Department of Education,Innovation and Improvement, NM,University of New Mexico, language instruction and preservation in rural communities,"$798,000 ",Lujan,
Department of Education,Innovation and Improvement, CO,Ute Mountain Ute Tribe, Ute language and history preservation curriculum development and education programming,"$1,400,000 ",Bennet, Hickenlooper
Department of Education,Innovation and Improvement, VA,Virginia Commemorations Inc, education programs related to America’s founding in honor of the country’s 250th anniversary,"$900,000 ",Kaine, Warner
Department of Education,Innovation and Improvement, OR,Vision To Learn," vision care services for students in under-resourced schools,including the purchase of a mobile vision clinic and a vehicle","$1,369,000 ",Merkley, Wyden
Department of Education,Innovation and Improvement, PA,Wagner Free Institute of Science, science and arts education programs,"$100,000 ",Fetterman,
Department of Education,Innovation and Improvement, VA,Washington County Public Schools, equipment and installation of accessible playgrounds at Greendale Elementary and Abingdon Elementary Schools,"$750,000 ",Kaine, Warner
Department of Education,Innovation and Improvement, NJ,Wharton Institute for the Performing Arts Inc, music education,"$90,000 ",Booker,
Department of Education,Innovation and Improvement, NH,YMCA of Greater Nashua, summer learning programming through the Power Scholars Academy,"$95,000 ",Shaheen,
Department of Education,Innovation and Improvement, IL,Youth Guidance, mentoring programs in Chicago Public Schools,"$500,000 ",Durbin,
Department of Education,Higher Education, GA,Abraham Baldwin Agricultural College," improving teacher preparation programs, including the purchase of equipment","$790,000 ",Ossoff,
Department of Education,Higher Education, AL,Alabama Community College System, the purchase of equipment,"$5,746,000 ",Britt,
Department of Education,Higher Education, AK,Alaska Christian College," student support services, including stipends and supplies","$100,000 ",Murkowski,
Department of Education,Higher Education, AK,Alaska Christian College, the purchase of equipment,"$100,000 ",Murkowski,
Department of Education,Higher Education, CT,Albertus Magnus College," improving a nursing education program, including scholarships and the purchase of equipment","$1,567,000 ",Blumenthal, Murphy
Department of Education,Higher Education, WV,Applied Research Foundation of West Virginia, campus security upgrades,"$1,105,000 ",Capito, Justice
Department of Education,Higher Education, AZ,Arizona State University," improving health care workforce training, including the purchase of equipment","$2,500,000 ",Gallego, Kelly
Department of Education,Higher Education, KS,Barton County Community College, the purchase of equipment,"$425,000 ",Moran,
Department of Education,Higher Education, WV,Bethany College," support nursing education, including the purchase of equipment","$1,150,000 ",Capito, Justice
Department of Education,Higher Education, WV,Blue Ridge Community and Technical College," aviation maintenance education, including the purchase of equipment","$445,000 ",Capito,
Department of Education,Higher Education, NJ,Camden County College, the purchase of equipment,"$115,000 ",Booker,
Department of Education,Higher Education, KY,Campbellsville University, support mental health care education,"$3,000,000 ",McConnell,
Department of Education,Higher Education, NY,Canisius University," expanding education programs, including purchasing equipment","$1,000,000 ",Schumer,
Department of Education,Higher Education, MA,Cape Cod Community College," improve health sciences education, including purchasing equipment and technology","$1,135,000 ",Markey, Warren
Department of Education,Higher Education, NC,Cape Fear Community College," support technical education, including the purchase of equipment and supplies","$650,000 ",Tillis,
Department of Education,Higher Education, ME,Central Maine Community College, the purchase of equipment and supplies,"$1,000,000 ",Collins,
Department of Education,Higher Education, NM,Central New Mexico Community College," expanding education and workforce training, including the purchase of equipment and providing scholarships","$1,135,000 ",Heinrich, Lujan
Department of Education,Higher Education, MN,Century College," expanding access to open educational resources for students, including purchasing e-books, texts and equipment, and providing stipends","$346,000 ",Klobuchar, Smith
Department of Education,Higher Education, NY,Chamber of Commerce of the Borough of Queens Inc," a cybersecurity education and training program, including the purchase of technology and equipment","$1,500,000 ",Gillibrand,
Department of Education,Higher Education, SC,Charleston Animal Society," support veterinary education, including student stipends and the purchase of equipment and supplies","$1,052,000 ",Graham,
Department of Education,Higher Education, SC,Charleston Southern University Aeronautics," support aeronautics education, including for the purchase of equipment","$1,250,000 ",Graham,
Department of Education,Higher Education, MD,Chesapeake College," improving health education, including the purchase of equipment","$721,000 ",Alsobrooks, Van Hollen
Department of Education,Higher Education, OH,Cincinnati State Technical and Community College, support the expansion of manufacturing education,"$3,000,000 ",Husted, Moreno
Department of Education,Higher Education, CA,City College of San Francisco, a transportation program to help postsecondary students access education,"$1,000,000 ",Padilla,
Department of Education,Higher Education, GA,Clark Atlanta University," improving science education and cancer detection, including purchasing equipment and providing financial aid and stipends","$850,000 ",Ossoff,
Department of Education,Higher Education, GA,Clayton State University," a crime scene investigation laboratory, including the purchase of equipment and student salaries","$425,000 ",Ossoff, Warnock
Department of Education,Higher Education, SC,Clemson University, curriculum development,"$500,000 ",Graham,
Department of Education,Higher Education, SC,Clemson University," veterinary education, including the purchase of equipment and technology","$7,000,000 ",Graham,
Department of Education,Higher Education, SC,College of Charleston," applied sciences education, including scholarships and the purchase of equipment and technology","$695,000 ",Graham,
Department of Education,Higher Education, IL,College of Dupage," improving electric vehicle education and training, including the purchase of equipment","$350,000 ",Duckworth,
Department of Education,Higher Education, MD,College of Southern Maryland," aviation education and training, including the purchase of equipment","$997,000 ",Alsobrooks, Van Hollen
Department of Education,Higher Education, NV,College of Southern Nevada," improving education for firefighters, including the purchase of equipment","$305,000 ",Cortez Masto, Rosen
Department of Education,Higher Education, VT,Community College of Vermont (CCV)," increasing health education in rural areas, including purchasing technology","$1,662,000 ",Sanders,
Department of Education,Higher Education, NH,Community College System of New Hampshire," for improving community college education programs, including the purchase of equipment","$2,000,000 ",Shaheen,
Department of Education,Higher Education, MA,Curry College," expanding education and workforce training, including the purchase of equipment","$1,000,000 ",Markey, Warren
Department of Education,Higher Education, GA,Dalton State College," expanding teacher training, including providing financial aid and stipends","$556,000 ",Ossoff, Warnock
Department of Education,Higher Education, DE,Delaware State University," Aviation Program Equipment for improving education, including the purchase of equipment","$1,000,000 ",Coons, Blunt Rochester
Department of Education,Higher Education, MS,Delta State University," aviation education, including the purchase of equipment","$1,750,000 ",Hyde-Smith,
Department of Education,Higher Education, KS,Donnelly College," the purchase of equipment, technology, and supplies","$94,000 ",Moran,
Department of Education,Higher Education, NC,East Carolina University," biomanufacturing education, including the purchase of equipment and supplies","$6,500,000 ",Tillis,
Department of Education,Higher Education, PA,East Stroudsburg University," expanding education programs, including the purchase of equipment","$657,000 ",Fetterman,
Department of Education,Higher Education, VA,Eastern Mennonite University," improving STEM education programs, which may include the purchase of equipment","$1,390,000 ",Kaine, Warner
Department of Education,Higher Education, MI,Eastern Michigan University," expanding aviation education, including the purchase of equipment","$985,000 ",Peters, Slotkin
Department of Education,Higher Education, OR,Eastern Oregon University, an early college initiative including purchasing equipment and supplies,"$400,000 ",Merkley, Wyden
Department of Education,Higher Education, NC,Elizabeth City State University, the purchase of aviation equipment,"$3,900,000 ",Tillis,
Department of Education,Higher Education, NJ,Engage NJ," expanding education and internship opportunities, including providing financial aid and stipends","$1,464,000 ",Kim,
Department of Education,Higher Education, WV,Fairmont State University, the purchase of aviation equipment,"$1,650,000 ",Capito, Justice
Department of Education,Higher Education, NJ,Felician University," improving education, including the purchase of equipment","$675,000 ",Booker, Kim
Department of Education,Higher Education, KS,Flint Hills Technical College, the purchase of equipment,"$320,000 ",Moran,
Department of Education,Higher Education, CA,Foundation for Grossmont and Cuyamaca Colleges," expanding educational opportunities for community college students, including purchasing equipment","$655,000 ",Padilla, Schiff
Department of Education,Higher Education, CT,Future 5," a college access and success program, including financial aid and student supports","$559,000 ",Blumenthal, Murphy
Department of Education,Higher Education, KS,Garden City Community College," the purchase of equipment, technology, and supplies","$450,000 ",Moran,
Department of Education,Higher Education, MI,Grand Valley State University," improving education for veterans and underserved students, including the purchase of equipment","$500,000 ",Peters,
Department of Education,Higher Education, WA,Green River College," increasing educational opportunities for military families, including providing financial aid and purchasing equipment","$750,000 ",Murray,
Department of Education,Higher Education, HI,Hawaii Pacific University," aquaculture education, including providing financial aid and purchasing equipment","$1,147,000 ",Hirono, Schatz
Department of Education,Higher Education, KS,Hesston College, the purchase of equipment and technology,"$800,000 ",Moran,
Department of Education,Higher Education, MS,Hinds Community College," aviation education, including the purchase of equipment","$1,500,000 ",Hyde-Smith,
Department of Education,Higher Education, MS,Hinds Community College, the purchase of equipment,"$236,000 ",Hyde-Smith,
Department of Education,Higher Education, SC,Horry-Georgetown Technical College, the purchase of equipment,"$2,000,000 ",Graham,
Department of Education,Higher Education, ME,Husson University," support marketing education, including for the purchase of equipment and supplies","$1,100,000 ",Collins, King
Department of Education,Higher Education, AK,Ilisagvik College," support science education, including the purchase of equipment","$191,000 ",Murkowski,
Department of Education,Higher Education, IL,Illinois Wesleyan University," expand nursing and health education, including the purchase of equipment","$1,000,000 ",Durbin,
Department of Education,Higher Education, KS,Independence Community College, the purchase of equipment,"$300,000 ",Moran,
Department of Education,Higher Education, MD,Jeremiah Program," supporting students in postsecondary or graduate education, including financial aid, scholarships, and child care","$139,000 ",Van Hollen,
Department of Education,Higher Education, KS,Kansas State University, the purchase of equipment and technology,"$4,900,000 ",Moran,
Department of Education,Higher Education, NH,Keene State College," a workforce training program, including providing stipends and purchasing supplies","$1,000,000 ",Shaheen,
Department of Education,Higher Education, ME,Kennebec Valley Community College, the purchase of equipment and supplies,"$1,019,000 ",Collins,
Department of Education,Higher Education, ME,Kennebec Valley Community College, the purchase of equipment and technology,"$180,000 ",Collins,
Department of Education,Higher Education, OR,Lane Community College," improving education and apprenticeship opportunities, including the purchase of equipment and technology","$1,600,000 ",Merkley, Wyden
