Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Federal Emergency Management Agency,Predisaster Mitigation,AZ,City of Kingman,City of Kingman—Bull Mountain Channel Improvements,"$493,000.00 ",Gallego, Kelly
Federal Emergency Management Agency,Predisaster Mitigation,NY,Town of Hempstead,Town of Hempstead—Bulkheads,"$1,780,000.00 ",Gillibrand, Schumer
Federal Emergency Management Agency,Predisaster Mitigation,NY,Town of Ossining,Town of Ossining—Town-Wide Drainage Study,"$99,000.00 ",Gillibrand, Schumer
Federal Emergency Management Agency,Predisaster Mitigation,SC,SC Emergency Management Division,City of Westminster Emergency Stand-by Generator and Control Center for Drinking Water Plant.,"$1,314,000.00 ",Graham,
Federal Emergency Management Agency,Predisaster Mitigation,SC,South Carolina Office of Resilience,Catfish Canal Stormwater Improvements Mitigation Project.,"$1,359,000.00 ",Graham,
Federal Emergency Management Agency,Predisaster Mitigation,NM,City of Bloomfield,Boyd Lining Project,"$750,000.00 ",Heinrich,
Federal Emergency Management Agency,Predisaster Mitigation,NM,NM Department of Homeland Security and Emergency Management,DHSEM Portable Backup Generators and Water Support,"$1,500,000.00 ",Heinrich, Lujan
Federal Emergency Management Agency,Predisaster Mitigation,NM,Roosevelt County,Emergency Siren Warning System Upgrades,"$262,000.00 ",Heinrich, Lujan
Federal Emergency Management Agency,Predisaster Mitigation,HI,Agribusiness Development Corporation,Hazard Monitoring and Wildfire Detection System,"$1,125,000.00 ",Hirono, Schatz
Federal Emergency Management Agency,Predisaster Mitigation,MS,City of Long Beach,Long Beach Harbor Mitigation Project,"$2,558,000.00 ",Hyde-Smith,
Federal Emergency Management Agency,Predisaster Mitigation,MS,City of Ridgeland,Citywide Flood Mitigation,"$4,000,000.00 ",Hyde-Smith,
Federal Emergency Management Agency,Emergency Operations Center,VA,Middle Peninsula Planning District Commis- sion,Middle Peninsula Emergency Operations Center Improve- ments.,"$506,000.00 ",Kaine, Warner
Federal Emergency Management Agency,Predisaster Mitigation,VA,City of Harrisonburg,City of Harrisonburg Suter Street Drainage Improvement Project.,"$1,750,000.00 ",Kaine, Warner
Federal Emergency Management Agency,Predisaster Mitigation,LA,Town of Lake Arthur,Town of Lake Arthur Pump Station,"$900,000.00 ",Kennedy,
Federal Emergency Management Agency,Predisaster Mitigation,NJ,Borough of Hamburg,Portable Generator for Critical Infrastructure,"$220,000.00 ",Kim,
Federal Emergency Management Agency,Predisaster Mitigation,MN,City of Madelia,Madelia Wastewater Lift Station Accredited Levee,"$1,980,000.00 ",Klobuchar, Smith
Federal Emergency Management Agency,Emergency Operations Center,MA,Acushnet Office of Emergency Management,Acushnet Office of Emergency Management,"$2,140,000.00 ",Markey, Warren
Federal Emergency Management Agency,Emergency Operations Center,MA,Berkley Police Department,Town of Berkley Emergency Operations Center,"$105,000.00 ",Markey, Warren
Federal Emergency Management Agency,Emergency Operations Center,MA,Town of Norton,New Town Hall Emergency Operations Center,"$22,000.00 ",Markey, Warren
Federal Emergency Management Agency,Emergency Operations Center,OR,City of Toledo,Toledo Public Safety Building Outfit,"$1,000,000.00 ",Merkley, Wyden
Federal Emergency Management Agency,Emergency Operations Center,OR,Oregon Department of Emergency Manage- ment,Statewide Emergency Coordination Center,"$1,500,000.00 ",Merkley, Wyden
Federal Emergency Management Agency,Emergency Operations Center,KS,Sedgwick County,Sedgwick County Emergency Operations Center,"$2,000,000.00 ",Moran,
Federal Emergency Management Agency,Predisaster Mitigation,KS,City of Englewood,Back-Up Generator Procurement,"$44,000.00 ",Moran,
Federal Emergency Management Agency,Predisaster Mitigation,AK,Chilkat Indian Village,Klukwan Landslide Protection Project,"$1,234,000.00 ",Murkowski,
Federal Emergency Management Agency,Predisaster Mitigation,AK,City and Borough of Juneau,Glacial Lake Outburst Flooding—Infrastructure Protec- tion.,"$1,500,000.00 ",Murkowski,
Federal Emergency Management Agency,Predisaster Mitigation,AK,City of Saint Paul,Planning & Design of Salt Lagoon & Community Pond Flood Mitigation.,"$375,000.00 ",Murkowski,
Federal Emergency Management Agency,Predisaster Mitigation,AK,Matanuska-Susitna Borough,Mat-Su Revetment and Road Upgrades,"$2,000,000.00 ",Murkowski,
Federal Emergency Management Agency,Emergency Operations Center,GA,Habersham County,Emergency Operations Center,"$2,500,000.00 ",Ossoff,
Federal Emergency Management Agency,Emergency Operations Center,GA,Henry County,Emergency Operations Center Display and Control Sys- tems Equipment.,"$1,149,000.00 ",Ossoff,
Federal Emergency Management Agency,Predisaster Mitigation,CA,City of Palm Desert,City of Palm Desert Emergency Resiliency Plan,"$296,000.00 ",Padilla,
Federal Emergency Management Agency,Emergency Operations Center,CA,City of Atascadero,City of Atascadero Emergency Operations Center Tech- nology Project.,"$1,000,000.00 ",Padilla, Schiff
Federal Emergency Management Agency,Predisaster Mitigation,CA,City of Chula Vista,Otay Valley Regional Park (OVRP) Wildfire Hazardous Fuels Reduction.,"$837,000.00 ",Padilla, Schiff
Federal Emergency Management Agency,Predisaster Mitigation,MI,City of New Baltimore,Walter Mary Burke Park Shoreline Restoration Project,"$1,000,000.00 ",Peters, Slotkin
Federal Emergency Management Agency,Predisaster Mitigation,RI,Town of Burrillville,Wallum Lake Dam Spillway improvements,"$345,000.00 ",Reed,
Federal Emergency Management Agency,Predisaster Mitigation,RI,Town of Barrington,Barrington Police Cove Park Seawall Repair,"$475,000.00 ",Reed, Whitehouse
Federal Emergency Management Agency,Predisaster Mitigation,RI,Town of Bristol,Bristol Independence Park Seawall Restoration,"$900,000.00 ",Reed, Whitehouse
Federal Emergency Management Agency,Predisaster Mitigation,NV,Nye County,Nye County—Area Master Drainage Plan (AMDP) Update,"$338,000.00 ",Rosen,
Federal Emergency Management Agency,Predisaster Mitigation,VT,Barre City,Gunners Brook Floodplain Restoration and Debris Catch- er Reconfiguration.,"$591,000.00 ",Sanders, Welch
Federal Emergency Management Agency,Predisaster Mitigation,VT,City of Montpelier,Elm Street Housing Elevation,"$1,458,000.00 ",Sanders, Welch
Federal Emergency Management Agency,Predisaster Mitigation,HI,Honolulu Fire Department,Mobile Generators for the Honolulu Fire Department,"$315,000.00 ",Schatz,
Federal Emergency Management Agency,Emergency Operations Center,CA,City of Lompoc,City of Lompoc—EOC Emergency Generator Project,"$375,000.00 ",Schiff,
Federal Emergency Management Agency,Emergency Operations Center,NH,New Hampshire Division of Homeland Security and Emergency Management,New Hampshire State Emergency Operations Center Mod- ernization Project.,"$250,000.00 ",Shaheen,
Federal Emergency Management Agency,Predisaster Mitigation,NH,City of Hampton Department of Emergency Management,Hampton NH Coastal Resiliency Storm Water Inflow/Infil- tration Reduction Project.,"$1,250,000.00 ",Shaheen,
Federal Emergency Management Agency,Predisaster Mitigation,MT,City of Glasgow,Flood Control Levee Improvements,"$2,487,000.00 ",Sheehy,
Federal Emergency Management Agency,Predisaster Mitigation,MI,St,Clair Township St. Clair Township Sanitary Pump Station Rehabilitation,"$1,144,000.00 ",Slotkin,
Federal Emergency Management Agency,Predisaster Mitigation,NC,North Carolina Department of Commerce,Wanchese Marine Industrial Park Authority Living Shore- line Resiliency Project.,"$2,605,000.00 ",Tillis,
Federal Emergency Management Agency,Emergency Operations Center,GA,City of Wrightsville,City of Wrightsville Emergency Operations Center Im- provements.,"$450,000.00 ",Warnock,
Federal Emergency Management Agency,Emergency Operations Center,GA,Pulaski County,Pulaski County Emergency Operations Center Radio Sys- tem Modernization.,"$570,000.00 ",Warnock,
Federal Emergency Management Agency,Predisaster Mitigation,VT,Town of Hardwick,Hardwick Flood Recovery & Resilience Plan,"$70,000.00 ",Welch,
Federal Emergency Management Agency,Predisaster Mitigation,RI,Town of Bristol,Bristol Seawall Repair,"$660,000.00 ",Whitehouse,
Federal Emergency Management Agency,Predisaster Mitigation,MS,City of Jackson Public Works Department,City of Jackson Midtown Area Stormwater Infrastructure Improvements.,"$1,125,000.00 ",Wicker,
Federal Emergency Management Agency,Predisaster Mitigation,MS,City of Jackson Public Works Department,City of Jackson Queens Area Stormwater Infrastructure Improvements.,"$1,125,000.00 ",Wicker,
