Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,Grants-in-Aid for Airports,FL,St. Augustine Airport Authority,Northeast Florida Regional Airport Access Road Expansion Project (SGJ),"$9,650,000.00 ",Rutherford,
Department of Transportation,Grants-in-Aid for Airports,FL,Greater Orlando Aviation Authority,Airport Public Roadway Wayfinding and Signage Phase 1 (MCO),"$1,000,000.00 ",Webster,
Department of Transportation,Grants-in-Aid for Airports,IA,City of Cedar Rapids,Eastern Iowa Airport Aircraft Deicing Facility (CID),"$10,000,000.00 ",Hinson,
Department of Transportation,Grants-in-Aid for Airports,IA,Polk County Aviation Authority,Ankeny Regional Airport (IKV)—Runway 18–36 Extension,"$2,500,000.00 ",Nunn,
Department of Transportation,Grants-in-Aid for Airports,ID,City of Idaho Falls,Idaho Falls Regional Airport Terminal Expansion (IDA),"$12,000,000.00 ",Simpson,
Department of Transportation,Grants-in-Aid for Airports,IL,Bi-State Development Agency,St. Louis Downtown Airport Aircraft Rescue Firefighting Apparatus and Snow Removal Equipment Acquisition,"$250,000.00 ",Budzinski,
Department of Transportation,Grants-in-Aid for Airports,IN,Indianapolis Airport Authority,Indianapolis Airport Authority—Optimized Baggage Handling System,"$2,000,000.00 ",Carson,
Department of Transportation,Grants-in-Aid for Airports,IN,Evansville-Vanderburg Airport Authority,Evansville  Regional  Airport  (EVV)  Passenger  Terminal  Emergency Backup Generator,"$1,615,000.00 ",Messmer,
Department of Transportation,Grants-in-Aid for Airports,IN,Gary/Chicago International Airport Authority,"Air  Cargo/Logistics  Apron  at  Gary/Chicago  International  Airport (GYY), Gary, IN","$850,000.00 ",Mrvan,
Department of Transportation,Grants-in-Aid for Airports,IN,Fort Wayne-Allen County Airport Authority,Fort Wayne International Airport (FWA) Rehabilitate Corporate and General Aviation Apron,"$2,000,000.00 ",Stutzman,
Department of Transportation,Grants-in-Aid for Airports,KS,Johnson County Airport Commission,Air Traffic Control Tower (ATCT) at New Century AirCenter (IXD),"$2,000,000.00 ",Davids,
Department of Transportation,Grants-in-Aid for Airports,KY,Marion-Crittenden County Airport Board,Marion-Crittenden County Regional Airport Parallel Taxiway (GDA),"$1,000,000.00 ",Comer,
Department of Transportation,Grants-in-Aid for Airports,KY,Kenton County Airport Board,South Airfield Tunnel Rehabilitation at CVG Airport,"$1,000,000.00 ",Massie,
Department of Transportation,Grants-in-Aid for Airports,KY,Kenton County Airport Board,Concourse A Apron Rehabilitation at CVG Airport,"$2,000,000.00 ",Massie,
Department of Transportation,Grants-in-Aid for Airports,KY,Kenton County Airport Board,Taxiway Mike (M) Reconstruction; to Support Growing Cargo Operations at CVG Airport,"$2,000,000.00 ",Massie,
Department of Transportation,Grants-in-Aid for Airports,KY,Cities of London & Corbin,London/Corbin Airport Terminal Renovation (LOZ),"$2,000,000.00 ",Rogers (KY),
Department of Transportation,Grants-in-Aid for Airports,LA,Houma-Terrebonne Airport Commission,West Ramp Rehabilitation Project Phase II,"$1,000,000.00 ",Higgins,
Department of Transportation,Grants-in-Aid for Airports,LA,City of Hammond,Hammond Northshore Regional Airport Runway Extension and Related Improvement Project (HDC),"$2,200,000.00 ",Letlow,
Department of Transportation,Grants-in-Aid for Airports,MD,Maryland Department of Transportation,Runway Improvement Program—Amtrak Catenary Line Relocation,"$850,000.00 ",Olszewski,
Department of Transportation,Grants-in-Aid for Airports,MI,Capital Region Airport Authority,New Jet Bridges at Capital Region International Airport (LAN),"$7,823,000.00 ",Barrett,
Department of Transportation,Grants-in-Aid for Airports,MI,Gerald R. Ford International Airport Authority (GFIAA),Taxiway B Lighting Replacement,"$801,000.00 ",Scholten,
Department of Transportation,Grants-in-Aid for Airports,MI,City of Detroit Airport (Coleman A. Young Airport KDET),City of Detroit Airport Construction of Taxiway B,"$250,000.00 ",Thanedar,
Department of Transportation,Grants-in-Aid for Airports,MN,City of Mankato,Mankato  Regional  Airport  Air  Traffic  Control  Tower  Construction (MKT),"$3,500,000.00 ",Finstad,
Department of Transportation,Grants-in-Aid for Airports,MO,University of Central Missouri,Economic Growth through Skyhaven Airport Expansion (RCM),"$6,000,000.00 ",Alford,
Department of Transportation,Grants-in-Aid for Airports,MO,St. Louis Lambert International Airport,New Central Utility Plant (CUP) & New West Electrical Substation (WES) at St. Louis Lambert International Airport,"$3,150,000.00 ",Bell,
Department of Transportation,Grants-in-Aid for Airports,MO,The City of Jefferson,Jefferson  City  Memorial  Airport  (JEF)  Snow  Removal  Equipment Building,"$1,000,000.00 ",Onder,
Department of Transportation,Grants-in-Aid for Airports,MT,"City of Billings, Montana",Billings  Logan  International  Airport  Stormwater  Improvements Project (BIL),"$1,500,000.00 ",Downing,
Department of Transportation,Grants-in-Aid for Airports,NC,Greater Asheville Regional Airport Authority,Asheville Regional Airport Taxiway Expansion (AVL),"$2,500,000.00 ",Edwards,
Department of Transportation,Grants-in-Aid for Airports,NC,Raleigh-Durham Airport Authority,RDU Taxiway J Reconstruction,"$850,000.00 ",Foushee,
Department of Transportation,Grants-in-Aid for Airports,NC,Raleigh-Durham Airport Authority,"Raleigh-Durham  International  Airport,  Replacement  Runway  5L/ 23R and Taxiway B (RDU)","$5,000,000.00 ",Knott,
Department of Transportation,Grants-in-Aid for Airports,NC,City of Charlotte,"Charlotte  Douglas  International  Airport,  Aircraft  Rescue  Firefighting Burn Prop Design (CLT)","$1,000,000.00 ",Moore (NC),
Department of Transportation,Grants-in-Aid for Airports,NC,Raleigh-Durham Airport Authority,John Brantley Boulevard Extension,"$1,200,000.00 ",Ross,
Department of Transportation,Grants-in-Aid for Airports,NE,Omaha Airport Authority,Improvements at Eppley Airfield (OMA),"$7,000,000.00 ",Bacon,
Department of Transportation,Grants-in-Aid for Airports,NV,Reno-Tahoe Airport Authority,Terminal Improvements,"$2,000,000.00 ",Amodei,
Department of Transportation,Grants-in-Aid for Airports,NV,Clark County Department of Aviation (‘‘CCDOA’’),Reconstruct the ARFF Station at LAS Phase 2 to Reconstruct the Airfield Rescue and Fire Fighting Station at LAS Airport,"$850,000.00 ",Horsford,
Department of Transportation,Grants-in-Aid for Airports,NV,Clark County Department of Aviation (CCDOA),Clark County Department of Aviation—Phase 2 to Reconstruct the Airfield Rescue and Fire Fighting Station at LAS Airport,"$250,000.00 ",Lee (NV),
Department of Transportation,Grants-in-Aid for Airports,NV,Clark County Department of Aviation,"Vehicle  Replacement  at  D  and  C  Tram  System  at  Harry  Reid International Airport in Las Vegas, Nevada","$2,000,000.00 ",Titus,
Department of Transportation,Grants-in-Aid for Airports,NY,Niagara Frontier Transportation Authority,Buffalo  Niagara  International  Airport  Vehicles  and  Related  Infrastructure,"$1,800,000.00 ",Kennedy (NY),
Department of Transportation,Grants-in-Aid for Airports,NY,Niagara Frontier Transportation Authority (NFTA),Snow Fighting Equipment at Buffalo Niagara International Airport (BUF),"$1,482,000.00 ",Langworthy,
Department of Transportation,Grants-in-Aid for Airports,NY,Syracuse Regional Airport Authority,SYR Baggage System Upgrade,"$850,000.00 ",Mannion,
Department of Transportation,Grants-in-Aid for Airports,NY,Jefferson County,Installation  of  Runway  10  Omni-Directional  Approach  Lights  at Watertown International Airport (ART),"$1,000,000.00 ",Tenney,
Department of Transportation,Grants-in-Aid for Airports,OH,Western Reserve Port Authority,Youngstown-Warren Regional Airport Runway Rehabilitation (YNG),"$5,000,000.00 ",Joyce (OH),
Department of Transportation,Grants-in-Aid for Airports,OK,City of Chandler,Chandler Regional Airport Runway Extension (CQB),"$8,000,000.00 ",Bice,
Department of Transportation,Grants-in-Aid for Airports,OK,City of Shawnee,Shawnee  Regional  Airport  Runway  and  Taxiway  Strengthening (SNL),"$13,500,000.00 ",Bice,
Department of Transportation,Grants-in-Aid for Airports,OK,City of Duncan,"Duncan Municipal Airport, Halliburton Field Improvements (DUC)","$7,000,000.00 ",Cole,
Department of Transportation,Grants-in-Aid for Airports,OK,City of Ada,Ada Regional Airport Improvements (ADH),"$15,000,000.00 ",Cole,
Department of Transportation,Grants-in-Aid for Airports,OK,University of Oklahoma,University of Oklahoma Westheimer Airport Improvements (OUN),"$17,065,000.00 ",Cole,
Department of Transportation,Grants-in-Aid for Airports,OK,City of Boise City,Boise City Airport (17K),"$2,660,000.00 ",Lucas,
Department of Transportation,Grants-in-Aid for Airports,OK,Oklahoma City Airport Trust,Will Rogers International Airport (OKC) Terminal Access Roadways Rehabilitation,"$5,000,000.00 ",Lucas,
Department of Transportation,Grants-in-Aid for Airports,PA,"City of Philadelphia, Department of Aviation",PNE—Taxiway C Rehabilitation,"$1,000,000.00 ",Boyle,
Department of Transportation,Grants-in-Aid for Airports,PA,Johnstown-Cambria County Airport Authority,Johnstown Cambria County Airport Terminal Renovations and Hold Room Expansion (JST),"$750,000.00 ",Joyce (PA),
Department of Transportation,Grants-in-Aid for Airports,PA,Erie Regional Airport Authority,Erie International Airport Aircraft Rescue Firefighting Vehicle (ERI),"$1,050,000.00 ",Kelly (PA),
Department of Transportation,Grants-in-Aid for Airports,PA,Lehigh-Northampton Airport Authority,ABE Pedestrian Walkway Elevators and Escalators,"$2,000,000.00 ",Mackenzie,
Department of Transportation,Grants-in-Aid for Airports,PA,"City of Philadelphia, Department of Aviation",Taxiway Rehabilitation at Philadelphia International Airport,"$850,000.00 ",Scanlon,
Department of Transportation,Grants-in-Aid for Airports,TN,Memphis-Shelby County Airport Authority,Terminal  Modernization  and  Seismic  Project  at  Memphis  International Airport,"$250,000.00 ",Cohen,
Department of Transportation,Grants-in-Aid for Airports,TN,Memphis Shelby County Airport Authority,"Memphis  International  Airport,  Terminal  Modernization  and  Seismic Program (MEM)","$4,000,000.00 ",Kustoff,
Department of Transportation,Grants-in-Aid for Airports,TX,City of Lubbock,Airport Improvements for Lubbock Airport (LBB),"$5,000,000.00 ",Arrington,
Department of Transportation,Grants-in-Aid for Airports,TX,County of Victoria,Victoria Regional Airport (VCT) Passenger Terminal,"$5,500,000.00 ",Cloud,
Department of Transportation,Grants-in-Aid for Airports,TX,"CIty of Lancaster, Texas",City of Lancaster Taxiway Relocation Project,"$2,000,000.00 ",Crockett,
Department of Transportation,Grants-in-Aid for Airports,TX,City of Sugar Land,Sugar Land Regional Airport Runway Improvements,"$850,000.00 ",Fletcher,
Department of Transportation,Grants-in-Aid for Airports,TX,Texas A&M University System,Easterwood Field Airport Air Traffic Control Tower Relocation and Construction (CLL),"$4,000,000.00 ",McCaul,
Department of Transportation,Grants-in-Aid for Airports,TX,City of Sugar Land,Sugar Land Regional Airport Runway Improvement Project (SGR),"$2,000,000.00 ",Nehls,
Department of Transportation,Grants-in-Aid for Airports,TX,City of San Angelo,San Angelo Regional Airport (SJT)—Air Traffic Control Tower Reconstruction,"$5,000,000.00 ",Pfluger,
Department of Transportation,Grants-in-Aid for Airports,UT,City of Provo,Provo   Municipal   Airport   Terminal   Expansion   and   Wayfinding Project (PVU),"$1,000,000.00 ",Kennedy (UT),
Department of Transportation,Grants-in-Aid for Airports,UT,City of St. George,St. George Regional Airport (SGU),"$2,800,000.00 ",Maloy,
Department of Transportation,Grants-in-Aid for Airports,UT,Spanish Fork,Spanish Fork Municipal Airport (SPK) Airfield Project,"$1,000,000.00 ",Owens,
Department of Transportation,Grants-in-Aid for Airports,VA,Capital Region Airport Commission,Richmond Airport Passenger Terminal Apron Reconstruction,"$250,000.00 ",McClellan,
Department of Transportation,Grants-in-Aid for Airports,VA,Manassas Regional Airport,Replace Taxiway B Bridge,"$850,000.00 ",Subramanyam,
Department of Transportation,Grants-in-Aid for Airports,WI,Brown County,Green Bay Austin Straubel International Airport Taxiway and Apron Infrastructure Rehabilitation (GRB),"$4,000,000.00 ",Wied,
Department of Transportation,Grants-in-Aid for Airports,WV,Central West Virginia Regional Airport Authority,"West  Virginia  International  Yeager  Airport,  Main  Terminal  Apron Improvements (CRW)","$2,992,000.00 ",Miller (WV),
Department of Transportation,Highway Infrastructure Programs,AL,AL,"Waterloo Bridge Feasibility and Construction, Lauderdale County","$7,000,000.00 ",Aderholt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,"I–22 Connector Feasibility Studies, Winston and Franklin Counties","$5,000,000.00 ",Aderholt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,"U.S.  278/SR  69  St.  Bernard  Bridge  Replacement  and  Supporting Infrastructure, Cullman County","$13,500,000.00 ",Aderholt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Hooks Lake Port Connection Road,"$250,000.00 ",Figures,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Alabama Capital Maxwell Gateway Project,"$2,000,000.00 ",Figures,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Co.  Rd.  65  Bridge  Replacement  Over  Branch  Creek—Cleburne County,"$1,000,000.00 ",Rogers (AL),
Department of Transportation,Highway Infrastructure Programs,AL,AL,Northbound Coosa River Bridge Replacement Project,"$3,000,000.00 ",Rogers (AL),
Department of Transportation,Highway Infrastructure Programs,AL,AL,Increasing Capacity Over the Tennessee River,"$3,000,000.00 ",Strong,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Slaughter Road Additional Lanes,"$3,500,000.00 ",Strong,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Capshaw Road (Old Monrovia Road to Jeff Road) Additional Lanes,"$5,500,000.00 ",Strong,
Department of Transportation,Highway Infrastructure Programs,AR,AR,Future Interstate 57 (Walnut Ridge to Missouri State Line),"$6,734,000.00 ",Crawford,
Department of Transportation,Highway Infrastructure Programs,AR,AR,Highway 412 Corridor Improvements,"$11,000,000.00 ",Crawford,
Department of Transportation,Highway Infrastructure Programs,AR,AR,Highway 82 Railroad Overpass,"$7,000,000.00 ",Westerman,
Department of Transportation,Highway Infrastructure Programs,AR,AR,Arkansas Highway 112,"$3,000,000.00 ",Womack,
Department of Transportation,Highway Infrastructure Programs,AR,AR,Construction of Future Interstate I–49,"$3,000,000.00 ",Womack,
Department of Transportation,Highway Infrastructure Programs,AR,AR,Springdale Northern Bypass,"$59,000,000.00 ",Womack,
Department of Transportation,Highway Infrastructure Programs,AZ,AZ,Frontier Street Mill and Overlay Project,"$1,000,000.00 ",Ciscomani,
Department of Transportation,Highway Infrastructure Programs,AZ,AZ,Main and High Street Improvements,"$1,900,000.00 ",Ciscomani,
Department of Transportation,Highway Infrastructure Programs,AZ,AZ,Buffalo Soldier Trail Reconstruction,"$7,000,000.00 ",Ciscomani,
Department of Transportation,Highway Infrastructure Programs,AZ,AZ,Town of Oro Valley: Bridge Replacement,"$7,000,000.00 ",Ciscomani,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Highland-Redlands Regional Connector,"$2,000,000.00 ",Aguilar,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Snowy Egret Overcrossing Study,"$850,000.00 ",Bera,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Rossmoor Bar Trail Enhancements Project,"$850,000.00 ",Bera,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Marysville Boulevard Vision Zero Safety Project,"$2,000,000.00 ",Bera,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Calabasas Citywide Green Street Project,"$850,000.00 ",Brownley,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Scott Road/Bundy Canyon Road Widening Project,"$2,500,000.00 ",Calvert,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Magnolia Avenue Widening Project,"$4,000,000.00 ",Calvert,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Indian Canyon Flood Mitigation Project,"$5,000,000.00 ",Calvert,
Department of Transportation,Highway Infrastructure Programs,CA,CA,I–15 Express Lanes Southern Extension Project,"$5,000,000.00 ",Calvert,
Department of Transportation,Highway Infrastructure Programs,CA,CA,I–10 Singleton Road Interchange Project,"$5,000,000.00 ",Calvert,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Santa   Barbara   County   Association   of   Governments—Cabrillo Project,"$1,500,000.00 ",Carbajal,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Shell Beach Road Shared Use Path,"$2,000,000.00 ",Carbajal,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Temple  City  Lower  Azusa  Road  Resurfacing  and  ADA  Improvements,"$850,000.00 ",Chu,
Department of Transportation,Highway Infrastructure Programs,CA,CA,East  San  Gabriel  Valley  Sustainable  Multimodal  Improvement Project,"$250,000.00 ",Cisneros,
Department of Transportation,Highway Infrastructure Programs,CA,CA,San Dimas Canyon Road Multi-modal Transportation Improvement Project,"$850,000.00 ",Cisneros,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Industry Regional Safety and Mobility Project,"$1,000,000.00 ",Cisneros,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Euclid Street Multimodal Safety Enhancements,"$2,000,000.00 ",Correa,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Danville Townwide Fiber Project,"$850,000.00 ",DeSaulnier,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Village Parkway Complete Streets Improvements Project,"$850,000.00 ",DeSaulnier,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Treat Boulevard Corridor Improvements Project,"$1,000,000.00 ",DeSaulnier,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Marsh Drive Class I Bikeway Project,"$1,200,000.00 ",DeSaulnier,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Antioch and Oakley Smart Signals Project,"$1,970,010.00 ",DeSaulnier,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Olive Avenue Bridge Replacement,"$250,000.00 ",Friedman,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Richmond Bay Trail Gap Closure Project,"$250,000.00 ",Garamendi,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Pacifica Avenue Safe Routes to School Project,"$250,000.00 ",Garamendi,
Department of Transportation,Highway Infrastructure Programs,CA,CA,North Bailey Road Active Transportation Corridor,"$850,000.00 ",Garamendi,
Department of Transportation,Highway Infrastructure Programs,CA,CA,El Cerrito Plaza BART Station TOD Complete Streets,"$850,000.00 ",Garamendi,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Markeley Lane Extension Project,"$850,000.00 ",Garamendi,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Heart of Fairfield Downtown Project,"$1,000,000.00 ",Garamendi,
Department of Transportation,Highway Infrastructure Programs,CA,CA,LA River Path (between Riverside Drive and Atlantic Boulevard),"$250,000.00 ",Gomez,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Pershing  Avenue  Road  Safety  Improvement  and  Enhancement Project,"$250,000.00 ",Harder,
Department of Transportation,Highway Infrastructure Programs,CA,CA,I–205 Managed Lanes,"$250,000.00 ",Harder,
Department of Transportation,Highway Infrastructure Programs,CA,CA,I–215 and Keller Road Interchange Right of Way Acquisition,"$1,500,000.00 ",Issa,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Diaz Road Expansion Project,"$2,000,000.00 ",Issa,
Department of Transportation,Highway Infrastructure Programs,CA,CA,SR–52 Operational Improvements Project,"$4,000,000.00 ",Issa,
Department of Transportation,Highway Infrastructure Programs,CA,CA,San  Miguel  Elementary  Safe  Routes  to  School  Infrastructure  Improvements,"$250,000.00 ",Jacobs,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Main Street Revitalization and Safety Project,"$250,000.00 ",Khanna,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Cedar Boulevard Complete Streets Project,"$850,000.00 ",Khanna,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Pruneridge Avenue Complete Streets Project,"$1,000,000.00 ",Khanna,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Safe Routes to Schools and Parks,"$2,000,000.00 ",Khanna,
Department of Transportation,Highway Infrastructure Programs,CA,CA,I–80/Horseshoe Bar Road Interchange Improvements Project,"$1,000,000.00 ",Kiley,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Baseline Road Traffic Safety Improvement and Signal Project,"$1,000,000.00 ",Kiley,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Interstate 80 Culvert Resilience Project,"$1,000,000.00 ",Kiley,
Department of Transportation,Highway Infrastructure Programs,CA,CA,White Rock Road Improvement Project,"$2,000,000.00 ",Kiley,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Interstate 80/Rocklin Road Interchange Improvements Project,"$3,000,000.00 ",Kiley,
Department of Transportation,Highway Infrastructure Programs,CA,CA,I–5 Improvement Project,"$1,700,000.00 ",Kim,
Department of Transportation,Highway Infrastructure Programs,CA,CA,State Route 91 Eastbound Corridor Operations Project,"$3,000,000.00 ",Kim,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Savi Ranch Parkway Road Improvement Project,"$3,000,000.00 ",Kim,
Department of Transportation,Highway Infrastructure Programs,CA,CA,State Route 55 Improvement Project,"$3,000,000.00 ",Kim,
Department of Transportation,Highway Infrastructure Programs,CA,CA,"Interstate 5 Improvement Project, Orange County, CA","$850,000.00 ",Levin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,"La   Novia   Avenue   Bridge   Replacement   Project,   San   Juan Capistrano, CA","$850,000.00 ",Levin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,"North   Coast   Highway   101   Drainage   Improvement   Project, Encinitas, CA","$1,000,000.00 ",Levin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Campbell PDA Enhancements,"$250,000.00 ",Liccardo,
Department of Transportation,Highway Infrastructure Programs,CA,CA,"Mountain Home Road Bridge, Woodside, California","$250,000.00 ",Liccardo,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Strengthening  Coastal  Resilience:  Smart  Infrastructure  &  Emergency Preparedness for San Mateo Coastal Communities,"$1,200,000.00 ",Liccardo,
Department of Transportation,Highway Infrastructure Programs,CA,CA,American River Loop Trail,"$250,000.00 ",Matsui,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Laguna Creek Trail Connectivity and Overcrossing Project,"$850,000.00 ",Matsui,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Technology and Signal Upgrades Project,"$250,000.00 ",Min,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Laguna Canyon Road: Protect and Connect,"$850,000.00 ",Min,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Millbrae Trail to Bay Connections,"$250,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,San Carlos US 101–Holly Street Interchange & Overcrossing,"$500,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Redwood City SR 84–US 101 Interchange Reimagined,"$850,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,San  Bruno  Huntington  Avenue  Bicycle  and  Pedestrians  Improvement Project,"$850,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,East Palo Alto Woodland Avenue Safety Improvements,"$2,000,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Trona Roadway and Repairs Project,"$1,000,000.00 ",Obernolte,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Palm  Avenue  Pedestrian  Safety  Improvements  and  Stormwater Drainage Installation,"$1,000,000.00 ",Obernolte,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Yucaipa Wildwood Canyon Interchange,"$2,000,000.00 ",Obernolte,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Ranchero Road Corridor Phase IV Street Improvements Project,"$2,000,000.00 ",Obernolte,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Boulder Creek Complete Streets Improvements,"$850,000.00 ",Panetta,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Los Angeles’ Colfax Ave. Pedestrian Improvement Project,"$250,000.00 ",Rivas,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City  of  Los  Angeles’  Reseda  Green  and  Accessible  Medians  and Shaded School Routes Project,"$250,000.00 ",Rivas,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Los Angeles’ Sepulveda Basin Pedestrian Safety & Access Improvements Project,"$850,000.00 ",Rivas,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Salton Sea Reimagined: CV Link Extension,"$250,000.00 ",Ruiz,
Department of Transportation,Highway Infrastructure Programs,CA,CA,State Street Rehabilitation Project,"$850,000.00 ",Ruiz,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Monroe  Street  &  Interstate-10  Interchange  Project  (Construction Phase),"$850,000.00 ",Ruiz,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Indian Canyon Drive Bridge Project,"$850,000.00 ",Ruiz,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Advanced  Traffic  Controllers  at  the  Future  Metro  L  Line  Norwalk and Lambert Stations Areas,"$250,000.00 ",Sanchez,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Malibu Canyon Road and Kanan Dume Road Tunnel Lighting Upgrade Project,"$250,000.00 ",Sherman,
